Base                Size      Path
0x0000000050fa0000  0xf9000   C:\Windows\SYSTEM32\textinputframework.dll
0x000000005a900000  0xf2000   C:\Windows\System32\CoreMessaging.dll
0x000000005a220000  0x35e000  C:\Windows\System32\CoreUIComponents.dll
0x0000000059160000  0x154000  C:\Windows\SYSTEM32\wintypes.dll
0x000000005bfd0000  0x33000   C:\Windows\SYSTEM32\ntmarta.dll
0x000000004b8c0000  0xe6000   C:\Windows\System32\Windows.ApplicationModel.dll
0x0000000051550000  0xf4000   C:\Windows\SYSTEM32\mrmcorer.dll
0x000000004f730000  0x2b1000  C:\Windows\SYSTEM32\iertutil.dll
0x000000004e1b0000  0x11000   C:\Windows\SYSTEM32\windows.staterepositorycore.dll
0x0000000050ac0000  0x2d000   C:\Windows\SYSTEM32\bcp47mrm.dll
0x0000000051400000  0x141000  C:\Windows\System32\Windows.UI.dll
0x0000000056c20000  0xa1000   C:\Windows\System32\WindowManagementAPI.dll
0x0000000050e40000  0x152000  C:\Windows\System32\InputHost.dll
0x0000000039660000  0x9000    C:\Windows\system32\IconCodecService.dll
0x0000000056cd0000  0x1b4000  C:\Windows\SYSTEM32\WindowsCodecs.dll
